name, set 
Abuna's Chant [SGL-MTG-5DN-1-ENF], Fifth Dawn (Foil)
Abyssal Persecutor [SGL-MTG-WWK-47-ENF], Worldwake (Foil)
"Ajani, Mentor of Heroes [SGL-MTG-MED-RA5-ENF]", Mythic Edition (Foil)
Avenger of Zendikar [SGL-MTG-DDP-1-ENF], Duel Decks: Zendikar vs. Eldrazi (Foil)
Acquire [SGL-MTG-5DN-21-ENF], Fifth Dawn (Foil)
Admonition Angel [SGL-MTG-WWK-1-ENF], Worldwake (Foil)
Dack Fayden [SGL-MTG-MED-RA6-ENF], Mythic Edition (Foil)
Oblivion Sower [SGL-MTG-DDP-41-ENF], Duel Decks: Zendikar vs. Eldrazi (Foil)
Advanced Hoverguard [SGL-MTG-5DN-22-ENF], Fifth Dawn (Foil)
Aether Tradewinds [SGL-MTG-WWK-24-ENF], Worldwake (Foil)
"Daretti, Ingenious Iconoclast [SGL-MTG-MED-GR3-ENF]", Mythic Edition (Foil)
All Suns' Dawn [SGL-MTG-5DN-81-ENF], Fifth Dawn (Foil)
Agadeem Occultist [SGL-MTG-WWK-48-ENF], Worldwake (Foil)
"Domri, Chaos Bringer [SGL-MTG-MED-RA7-ENF]", Mythic Edition (Foil)
Adverse Conditions [SGL-MTG-BFZ-54-ENF], Battle for Zendikar (Foil)
Anodet Lurker [SGL-MTG-5DN-101-ENF], Fifth Dawn (Foil)
Akoum Battlesinger [SGL-MTG-WWK-71-ENF], Worldwake (Foil)
"Elspeth, Knight-Errant [SGL-MTG-MED-GR1-ENF]", Mythic Edition (Foil)
Akoum Firebird [SGL-MTG-BFZ-138-ENF], Battle for Zendikar (Foil)
Arachnoid [SGL-MTG-5DN-102-ENF], Fifth Dawn (Foil)
"Garruk, Apex Predator [SGL-MTG-MED-WS5-ENF]", Mythic Edition (Foil)
Amulet of Vigor [SGL-MTG-WWK-121-ENF], Worldwake (Foil)
Akoum Hellkite [SGL-MTG-BFZ-139-ENF], Battle for Zendikar (Foil)
Arcbound Wanderer [SGL-MTG-5DN-103-ENF], Fifth Dawn (Foil)
Gideon Blackblade [SGL-MTG-MED-WS2-ENF], Mythic Edition (Foil)
"Anowon, the Ruin Sage [SGL-MTG-WWK-49-ENF]", Worldwake (Foil)
Akoum Stonewaker [SGL-MTG-BFZ-140-ENF], Battle for Zendikar (Foil)
"Jace, the Mind Sculptor [SGL-MTG-MED-WS3-ENF]", Mythic Edition (Foil)
Armed Response [SGL-MTG-5DN-2-ENF], Fifth Dawn (Foil)
Apex Hawks [SGL-MTG-WWK-2-ENF], Worldwake (Foil)
Aligned Hedron Network [SGL-MTG-BFZ-222-ENF], Battle for Zendikar (Foil)
Jaya Ballard [SGL-MTG-MED-RA4-ENF], Mythic Edition (Foil)
Artificer's Intuition [SGL-MTG-5DN-23-ENF], Fifth Dawn (Foil)
Ally Encampment [SGL-MTG-BFZ-228-ENF], Battle for Zendikar (Foil)
Arbor Elf [SGL-MTG-WWK-95-ENF], Worldwake (Foil)
"Karn, Scion of Urza [SGL-MTG-MED-RA1-ENF]", Mythic Edition (Foil)
Auriok Champion [SGL-MTG-5DN-3-ENF], Fifth Dawn (Foil)
Altar's Reap [SGL-MTG-BFZ-103-ENF], Battle for Zendikar (Foil)
Archon of Redemption [SGL-MTG-WWK-3-ENF], Worldwake (Foil)
Angel of Renewal [SGL-MTG-BFZ-18-ENF], Battle for Zendikar (Foil)
"Kaya, Orzhov Usurper [SGL-MTG-MED-RA8-ENF]", Mythic Edition (Foil)
Auriok Salvagers [SGL-MTG-5DN-4-ENF], Fifth Dawn (Foil)
Angelic Captain [SGL-MTG-BFZ-208-ENF], Battle for Zendikar (Foil)
Avenger of Zendikar [SGL-MTG-WWK-96-ENF], Worldwake (Foil)
"Liliana, the Last Hope [SGL-MTG-MED-GR2-ENF]", Mythic Edition (Foil)
Auriok Windwalker [SGL-MTG-5DN-5-ENF], Fifth Dawn (Foil)
Angelic Gift [SGL-MTG-BFZ-19-ENF], Battle for Zendikar (Foil)
Basilisk Collar [SGL-MTG-WWK-122-ENF], Worldwake (Foil)
"Nahiri, the Harbinger [SGL-MTG-MED-WS7-ENF]", Mythic Edition (Foil)
Avarice Totem [SGL-MTG-5DN-104-ENF], Fifth Dawn (Foil)
Battle Hurda [SGL-MTG-WWK-4-ENF], Worldwake (Foil)
"Nicol Bolas, Dragon-God [SGL-MTG-MED-WS6-ENF]", Mythic Edition (Foil)
Baton of Courage [SGL-MTG-5DN-105-ENF], Fifth Dawn (Foil)
Bazaar Trader [SGL-MTG-WWK-72-ENF], Worldwake (Foil)
Anticipate [SGL-MTG-BFZ-69-ENF], Battle for Zendikar (Foil)
"Nicol Bolas, Planeswalker [SGL-MTG-MED-GR4-ENF]", Mythic Edition (Foil)
Battered Golem [SGL-MTG-5DN-106-ENF], Fifth Dawn (Foil)
Bane of Bala Ged [SGL-MTG-BFZ-1-ENF], Battle for Zendikar (Foil)
Bestial Menace [SGL-MTG-WWK-97-ENF], Worldwake (Foil)
"Ral, Izzet Viceroy [SGL-MTG-MED-GR5-ENF]", Mythic Edition (Foil)
Beacon of Creation [SGL-MTG-5DN-82-ENF], Fifth Dawn (Foil)
Bloodhusk Ritualist [SGL-MTG-WWK-50-ENF], Worldwake (Foil)
Barrage Tyrant [SGL-MTG-BFZ-127-ENF], Battle for Zendikar (Foil)
Sarkhan Unbroken [SGL-MTG-MED-WS8-ENF], Mythic Edition (Foil)
Beacon of Destruction [SGL-MTG-5DN-61-ENF], Fifth Dawn (Foil)
Bojuka Bog [SGL-MTG-WWK-132-ENF], Worldwake (Foil)
Beastcaller Savant [SGL-MTG-BFZ-170-ENF], Battle for Zendikar (Foil)
Sorin Markov [SGL-MTG-MED-RA3-ENF], Mythic Edition (Foil)
Beacon of Immortality [SGL-MTG-5DN-6-ENF], Fifth Dawn (Foil)
Bojuka Brigand [SGL-MTG-WWK-51-ENF], Worldwake (Foil)
Belligerent Whiptail [SGL-MTG-BFZ-141-ENF], Battle for Zendikar (Foil)
"Tamiyo, the Moon Sage [SGL-MTG-MED-RA2-ENF]", Mythic Edition (Foil)
Beacon of Tomorrows [SGL-MTG-5DN-24-ENF], Fifth Dawn (Foil)
Brink of Disaster [SGL-MTG-WWK-52-ENF], Worldwake (Foil)
Benthic Infiltrator [SGL-MTG-BFZ-55-ENF], Battle for Zendikar (Foil)
"Teferi, Hero of Dominaria [SGL-MTG-MED-GR6-ENF]", Mythic Edition (Foil)
Beacon of Unrest [SGL-MTG-5DN-41-ENF], Fifth Dawn (Foil)
Bull Rush [SGL-MTG-WWK-73-ENF], Worldwake (Foil)
Blight Herder [SGL-MTG-BFZ-2-ENF], Battle for Zendikar (Foil)
Tezzeret the Seeker [SGL-MTG-MED-WS4-ENF], Mythic Edition (Foil)
Blasting Station [SGL-MTG-5DN-107-ENF], Fifth Dawn (Foil)
Blighted Cataract [SGL-MTG-BFZ-229-ENF], Battle for Zendikar (Foil)
Butcher of Malakir [SGL-MTG-WWK-53-ENF], Worldwake (Foil)
Blighted Fen [SGL-MTG-BFZ-230-ENF], Battle for Zendikar (Foil)
Blind Creeper [SGL-MTG-5DN-42-ENF], Fifth Dawn (Foil)
"Tezzeret, Agent of Bolas [SGL-MTG-MED-GR7-ENF]", Mythic Edition (Foil)
Calcite Snapper [SGL-MTG-WWK-25-ENF], Worldwake (Foil)
Blighted Gorge [SGL-MTG-BFZ-231-ENF], Battle for Zendikar (Foil)
"Ugin, the Spirit Dragon [SGL-MTG-MED-WS1-ENF]", Mythic Edition (Foil)
Blinkmoth Infusion [SGL-MTG-5DN-25-ENF], Fifth Dawn (Foil)
Canopy Cover [SGL-MTG-WWK-98-ENF], Worldwake (Foil)
"Vraska, Golgari Queen [SGL-MTG-MED-GR8-ENF]", Mythic Edition (Foil)
Bringer of the Black Dawn [SGL-MTG-5DN-43-ENF], Fifth Dawn (Foil)
Caustic Crawler [SGL-MTG-WWK-54-ENF], Worldwake (Foil)
Blighted Steppe [SGL-MTG-BFZ-232-ENF], Battle for Zendikar (Foil)
Bringer of the Blue Dawn [SGL-MTG-5DN-26-ENF], Fifth Dawn (Foil)
