name,set,colour,rarity,nm
[Beast Token] [SGL-MTG-M15-05-ENN], Magic 2015 Core Set, Colorless, Token, 0.99
[Beast Token] [SGL-MTG-M15-09-ENN], Magic 2015 Core Set, Colorless, Token, 0.25
[Dragon Token] [SGL-MTG-M15-07-ENN], Magic 2015 Core Set, Colorless, Token, 0.25
[Goblin Token] [SGL-MTG-M15-08-ENN], Magic 2015 Core Set, Colorless, Token, 0.49
[Sliver Token] [SGL-MTG-M15-01-ENN], Magic 2015 Core Set, Colorless, Token, 0.49
[Soldier Token] [SGL-MTG-M15-02-ENN], Magic 2015 Core Set, Colorless, Token, 0.25
[Spirit Token] [SGL-MTG-M15-03-ENN], Magic 2015 Core Set, Colorless, Token, 0.25
[Squid Token] [SGL-MTG-M15-04-ENN], Magic 2015 Core Set, Colorless, Token, 0.25
[Treefolk Warrior Token] [SGL-MTG-M15-011-ENN], Magic 2015 Core Set, Colorless, Token, 0.25
[Zombie Token] [SGL-MTG-M15-06-ENN], Magic 2015 Core Set, Colorless, Token, 0.25
Accursed Spirit [SGL-MTG-M15-85-ENN], Magic 2015 Core Set, Black, Common, 0.15
Act on Impulse [SGL-MTG-M15-126-ENN], Magic 2015 Core Set, Red, Uncommon, 0.25
Aegis Angel [SGL-MTG-M15-270-ENN], Magic 2015 Core Set, White, Rare, 0.49
Aeronaut Tinkerer [SGL-MTG-M15-43-ENN], Magic 2015 Core Set, Blue, Common, 0.15
Aetherspouts [SGL-MTG-M15-44-ENN], Magic 2015 Core Set, Blue, Rare, 0.59
Aggressive Mining [SGL-MTG-M15-127-ENN], Magic 2015 Core Set, Red, Rare, 0.49
Ajani Steadfast [SGL-MTG-M15-1-ENN], Magic 2015 Core Set, White, Mythic Rare, 5.99
Ajani's Pridemate [SGL-MTG-M15-2-ENN], Magic 2015 Core Set, White, Uncommon, 0.25
Altac Bloodseeker [SGL-MTG-M15-128-ENN], Magic 2015 Core Set, Red, Uncommon, 0.25
Amphin Pathmage [SGL-MTG-M15-45-ENN], Magic 2015 Core Set, Blue, Common, 0.15
Ancient Silverback [SGL-MTG-M15-168-ENN], Magic 2015 Core Set, Green, Uncommon, 0.25
"Avacyn, Guardian Angel [SGL-MTG-M15-3-ENN]", Magic 2015 Core Set, White, Rare, 0.59
Avarice Amulet [SGL-MTG-M15-212-ENN], Magic 2015 Core Set, Colorless, Rare, 0.49
Back to Nature [SGL-MTG-M15-169-ENN], Magic 2015 Core Set, Green, Uncommon, 0.25
Battle Mastery [SGL-MTG-M15-4-ENN], Magic 2015 Core Set, White, Uncommon, 0.25
Battlefield Forge [SGL-MTG-M15-240-ENN], Magic 2015 Core Set, Colorless, Rare, 2.99
